track_id,track_name,topic_id,topic_name,rank,reference_classification,title,case_number,court,decision_date,source_url,applicability_note,raw_text_path
game,游戏,gift,买赠/促销规则,1,civil_judicial_reference,许福渊等与上海以尚网络技术有限公司网络服务合同纠纷一审民事判决书,(2025)粤0192民初9279号,广州互联网法院,2025-11-20,https://www.pkulaw.com/pfnl/c7ed112b8012f816b0f29108a37ed6053b79166e81a09114bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_backfill/full_20260917/raw/sector_docx__game__4cff4dd4___2025_粤0192民初9279号.json
game,游戏,gift,买赠/促销规则,2,civil_judicial_reference,王越、广州鑫晨网络科技有限公司等网络服务合同纠纷民事一审民事判决书,(2023)粤0192民初1448号,广州互联网法院,2023-04-12,https://www.pkulaw.com/pfnl/08df102e7c10f206fd83f1e429d8c757a7bacc3e254bc132bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_backfill/full_20260917/raw/sector_docx__game__19894e09___2023_粤0192民初1448号.json
game,游戏,gift,买赠/促销规则,3,civil_judicial_reference,李春霞、广州三七网络科技有限公司网络服务合同纠纷民事一审民事判决书,(2022)粤0192民初12251号,广州互联网法院,2022-07-11,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1bbea74fe4a108e2e20481b9010801e28bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_gap_search/20260917_gap10/raw/get_case_list__s07_game_cashout__kw2_no_title_网络游戏_虚假广告_充值_奖励.json
game,游戏,gift,买赠/促销规则,4,civil_judicial_reference,赵剑磊与三七互娱（上海）科技有限公司、安徽三七网络科技有限公司网络服务合同纠纷一审民事判决书,(2020)粤0192民初22669号,广州互联网法院,2020-07-23,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc447bc17425893b37a2e04de7c2eeeaccfbdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_backfill/full_20260917/raw/sector_docx__game__a5b354d7___2020_粤0192民初22669号.json
game,游戏,gift,买赠/促销规则,5,civil_judicial_reference,张军锋与苏州格林贝尔商贸有限公司合同纠纷一审民事判决书,(2019)浙0482民初402号,浙江省平湖市人民法院,2019-10-08,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc42c005047d9481516d5bc7d30e49c9c2bbdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_gap_search/20260917_gap10/raw/get_case_list__s06_gift_promotion__kw5_no_title_促销_赠品_虚假宣传_处罚.json
game,游戏,cashout,收益/提现/诱导充值,1,civil_judicial_reference,许福渊等与上海以尚网络技术有限公司网络服务合同纠纷一审民事判决书,(2025)粤0192民初9279号,广州互联网法院,2025-11-20,https://www.pkulaw.com/pfnl/c7ed112b8012f816b0f29108a37ed6053b79166e81a09114bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_backfill/full_20260917/raw/sector_docx__game__4cff4dd4___2025_粤0192民初9279号.json
game,游戏,cashout,收益/提现/诱导充值,2,civil_judicial_reference,郑某与北京某公司网络服务合同纠纷,(2026)京0491民初4964号,北京互联网法院,2026-04-29,https://www.pkulaw.com/pfnl/c7ed112b8012f816be0c94d881bc40669772443d0a31fe49bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_gap_search/20260917_gap10/raw/get_case_list__s07_game_cashout__kw2_no_title_网络游戏_虚假广告_充值_奖励.json
game,游戏,cashout,收益/提现/诱导充值,3,civil_judicial_reference,戴卓科;海南盛昌网络科技有限公司网络服务合同纠纷二审民事判决书,(2026)琼96民终807号,海南省第一中级人民法院,2026-03-26,https://www.pkulaw.com/pfnl/c7ed112b8012f816428afbd185c977ce65010e4447a20676bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_gap_search/20260917_gap10/raw/get_case_list__s02_game_license_antiaddiction__kw5_no_title_网络游戏_适龄提示_广告_充值.json
game,游戏,cashout,收益/提现/诱导充值,4,civil_judicial_reference,上海某公司;袁茂斌;北京某公司网络服务合同纠纷二审民事判决书,(2025)京04民终1390号,北京市第四中级人民法院,2025-09-12,https://www.pkulaw.com/pfnl/c7ed112b8012f816b82b57b17c164aca56085ee1cf99da66bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_gap_search/20260917_gap10/raw/get_case_list__s03_platform_rules__kw3_no_title_抖音_游戏广告_虚假宣传_充值.json
game,游戏,cashout,收益/提现/诱导充值,5,civil_judicial_reference,朱某伟、海南某公司合同纠纷民事二审民事判决书,(2023)琼96民终6628号,海南省第一中级人民法院,2024-03-22,https://www.pkulaw.com/pfnl/08df102e7c10f20672d7d192c61ee75af944dba1f347f539bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_backfill/full_20260917/raw/sector_docx__game__ccf5c3bb___2023_琼96民终6628号.json
